tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128770200,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Gurgaon,HR,122002,2020-03-16 10:14:00,2020-03-20 11:25:00,97.18333333333334,4,5,82.4,24.295833333333334,True,RESIDENCE,1,True,11
390950240108,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-09 09:42:00,2020-03-12 10:30:00,72.8,5,5,59.9,14.559999999999999,True,,0,,13
390767808307,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Greater Noida,UP,201310,2020-03-02 10:53:00,2020-03-06 12:58:00,98.08333333333333,4,6,86.85,24.520833333333332,True,RESIDENCE,0,,12
391128738630,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400089,2020-03-16 10:14:00,2020-03-18 08:38:00,46.4,4,4,33.833333333333336,11.6,True,RESIDENCE,1,True,10
390902329207,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,560048,Bengaluru,KA,560080,2020-03-06 10:37:00,2020-03-07 05:36:00,18.983333333333334,3,3,12.95,6.327777777777778,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391198356290,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Thanjavur,TN,613007,2020-03-18 11:38:00,2020-04-10 03:55:00,544.2833333333333,5,6,107.45,108.85666666666665,True,RESIDENCE,0,,16
390931713959,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Gurgaon,HR,122002,2020-03-07 10:57:00,2020-03-11 09:49:00,94.86666666666666,4,5,80.95,23.716666666666665,True,RESIDENCE,1,True,11
391017620614,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Delhi,DL,110060,2020-03-11 11:09:00,2020-03-16 11:02:00,119.88333333333334,4,6,85.83333333333333,29.970833333333335,True,RESIDENCE,1,True,15
390932012191,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Kozhikode,KL,673004,2020-03-07 10:57:00,2020-03-10 10:30:00,71.55,4,3,59.68333333333333,17.8875,True,RECEPTIONIST_OR_FRONT_DESK,0,,8
390871747925,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,indore,MP,452016,2020-03-05 13:50:00,2020-03-09 10:19:00,92.48333333333333,5,8,83.36666666666666,18.496666666666666,True,RESIDENCE,1,True,16
